Location,Location_2,n_samples,mean_accuracy,ci_lower,ci_upper
ctx-rh-bankssts,ctx-rh-middletemporal,74,0.6885714285714285,0.5766138969178797,0.7830915919591633
ctx-rh-bankssts,ctx-rh-bankssts,34,0.6714285714285715,0.508428945939082,0.808683564359745
ctx-rh-bankssts,ctx-rh-lateralorbitofrontal,82,0.7441176470588236,0.6400110670496504,0.8259642384673738
ctx-rh-bankssts,ctx-rh-parstriangularis,36,0.7035714285714286,0.5314372714948966,0.8199554840517008
ctx-rh-bankssts,ctx-rh-insula,64,0.6423076923076924,0.5182085060977909,0.7471159770854826
ctx-rh-bankssts,ctx-rh-precentral,50,0.7,0.5624964953554659,0.8089644649911905
ctx-rh-lateralorbitofrontal,Right-Amygdala,174,0.8732773109243699,0.8159875728330918,0.915000582921245
ctx-rh-lateralorbitofrontal,ctx-rh-bankssts,82,0.7433823529411765,0.6400110670496504,0.8259642384673738
ctx-rh-parstriangularis,Right-Amygdala,92,0.7929824561403509,0.6998218608639662,0.8636086280336036
ctx-rh-parstriangularis,ctx-rh-bankssts,36,0.7178571428571429,0.5600751000260289,0.841516620598654
ctx-rh-insula,Right-Amygdala,72,0.7504761904761905,0.6390649259565606,0.8356094877452105
ctx-rh-insula,ctx-rh-bankssts,64,0.641025641025641,0.5182085060977909,0.7471159770854826
ctx-rh-precentral,Right-Amygdala,44,0.7055555555555555,0.5577979987383977,0.8184447088149512
ctx-rh-precentral,ctx-rh-bankssts,50,0.72,0.5833487630404344,0.8252582933408876
Left-Amygdala,ctx-lh-medialorbitofrontal,22,0.67,0.47318597741042745,0.8363940681864375
Left-Amygdala,Right-Hippocampus,34,0.8857142857142858,0.7337915722962817,0.9532855333511766
Left-Amygdala,ctx-rh-middletemporal,72,0.8323809523809524,0.730892930694645,0.9020062875743833
ctx-lh-middletemporal,ctx-lh-transversetemporal,36,0.7428571428571429,0.5892954623327165,0.8624952233700518
ctx-lh-middletemporal,ctx-lh-medialorbitofrontal,48,0.7911111111111111,0.6574109872738206,0.882697270420944
Left-Hippocampus,ctx-lh-medialorbitofrontal,30,0.8333333333333334,0.6643564949358397,0.9266345762815146
ctx-lh-inferiortemporal,ctx-lh-superiortemporal,24,0.79,0.5952954674681133,0.9075517464714814
ctx-lh-inferiortemporal,Right-Hippocampus,22,0.9,0.7218505315839416,0.9747045710090048
ctx-lh-inferiortemporal,ctx-rh-middletemporal,34,0.7523809523809524,0.6000386207746361,0.8756301446736042
ctx-lh-superiortemporal,ctx-lh-inferiortemporal,24,0.7,0.5083230633550336,0.8508535180303914
ctx-lh-superiortemporal,ctx-lh-transversetemporal,44,0.6416666666666667,0.48866376879043427,0.7621647029117982
ctx-lh-superiortemporal,ctx-lh-medialorbitofrontal,30,0.8,0.6269430358685175,0.9049489282271013
ctx-lh-superiortemporal,ctx-rh-middletemporal,22,0.8699999999999999,0.6666501283342827,0.9525099628594476
ctx-lh-transversetemporal,ctx-lh-middletemporal,36,0.7214285714285713,0.5600751000260289,0.841516620598654
ctx-lh-transversetemporal,ctx-lh-superiortemporal,44,0.663888888888889,0.5113914121793823,0.7812418048065555
ctx-lh-transversetemporal,ctx-lh-lateralorbitofrontal,32,0.5857142857142856,0.4226002487538286,0.7448036515733457
ctx-lh-medialorbitofrontal,Left-Amygdala,22,0.82,0.6148339256287345,0.9269311541657794
ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,48,0.7444444444444445,0.6121562719049203,0.850793663262021
ctx-lh-medialorbitofrontal,Left-Hippocampus,30,0.8666666666666666,0.703186733179637,0.9469034451594526
ctx-lh-medialorbitofrontal,ctx-lh-superiortemporal,30,0.7,0.5212421254128503,0.833352517317562
ctx-lh-medialorbitofrontal,ctx-lh-lateralorbitofrontal,22,0.8099999999999999,0.6148339256287345,0.9269311541657794
ctx-lh-medialorbitofrontal,ctx-lh-parstriangularis,22,0.6799999999999999,0.47318597741042745,0.8363940681864375
ctx-lh-lateralorbitofrontal,ctx-lh-transversetemporal,32,0.6,0.4226002487538286,0.7448036515733457
ctx-lh-lateralorbitofrontal,ctx-lh-medialorbitofrontal,22,0.74,0.5184826598759761,0.8684923971201054
ctx-lh-lateralorbitofrontal,ctx-rh-middletemporal,20,0.85,0.639581135259243,0.9476312541037833
ctx-lh-parstriangularis,ctx-lh-medialorbitofrontal,22,0.77,0.5656004682477828,0.8987696001475148
ctx-lh-parstriangularis,ctx-rh-middletemporal,26,0.7666666666666666,0.5794844592105631,0.8896615059421672
Right-Hippocampus,Left-Amygdala,34,0.7666666666666667,0.6000386207746361,0.8756301446736042
Right-Hippocampus,ctx-lh-inferiortemporal,22,0.6900000000000001,0.47318597741042745,0.8363940681864375
ctx-rh-middletemporal,Left-Amygdala,72,0.8876190476190476,0.7957706176633595,0.9426118036505066
ctx-rh-middletemporal,ctx-lh-inferiortemporal,34,0.7904761904761906,0.6320161194883639,0.8965047310096809
ctx-rh-middletemporal,ctx-lh-superiortemporal,22,0.74,0.5184826598759761,0.8684923971201054
ctx-rh-middletemporal,ctx-lh-lateralorbitofrontal,20,0.7,0.48102718164647645,0.8545227551323957
ctx-rh-middletemporal,ctx-lh-parstriangularis,26,0.5733333333333334,0.389486137465917,0.7445555668634344
Left-Hippocampus,ctx-lh-entorhinal,24,0.75,0.5510055599484599,0.88000633771405
Left-Hippocampus,ctx-lh-parsopercularis,68,0.689010989010989,0.5736318830649045,0.7882761353244803
ctx-lh-parahippocampal,ctx-lh-superiortemporal,34,0.8523809523809524,0.6987194350454783,0.9355055855521753
ctx-lh-parahippocampal,ctx-lh-entorhinal,22,0.72,0.5184826598759761,0.8684923971201054
ctx-lh-parahippocampal,ctx-lh-medialorbitofrontal,22,0.76,0.5656004682477828,0.8987696001475148
ctx-lh-parahippocampal,ctx-lh-parstriangularis,30,0.9333333333333333,0.7867654163738307,0.9815229762087296
ctx-lh-parahippocampal,ctx-lh-insula,20,0.85,0.639581135259243,0.9476312541037833
ctx-lh-parahippocampal,ctx-lh-parsopercularis,40,0.8,0.652426936536005,0.895000102745623
ctx-lh-fusiform,ctx-lh-parsopercularis,32,0.8047619047619048,0.6469084479862404,0.9111045531043405
Left-Amygdala,ctx-lh-parsopercularis,24,0.8800000000000001,0.6899611872949992,0.9565566591987656
ctx-lh-superiortemporal,ctx-lh-parahippocampal,34,0.7380952380952381,0.5688285871705533,0.8539880932278826
ctx-lh-superiortemporal,ctx-lh-entorhinal,26,0.8066666666666666,0.62123742880683,0.9149293885105759
ctx-lh-superiortemporal,ctx-lh-parsopercularis,104,0.7976190476190477,0.7109532914424467,0.8639647472970532
ctx-lh-middletemporal,ctx-lh-parsopercularis,128,0.836,0.7621819239629298,0.8901166835408066
ctx-lh-entorhinal,Left-Hippocampus,24,0.72,0.5083230633550336,0.8508535180303914
ctx-lh-entorhinal,ctx-lh-parahippocampal,22,0.63,0.4295170809013101,0.8026679532963388
ctx-lh-entorhinal,ctx-lh-superiortemporal,26,0.7333333333333333,0.5391695962082381,0.8629555167798162
ctx-lh-entorhinal,ctx-lh-parsopercularis,22,0.6799999999999999,0.47318597741042745,0.8363940681864375
ctx-lh-medialorbitofrontal,ctx-lh-parahippocampal,22,0.65,0.4295170809013101,0.8026679532963388
ctx-lh-medialorbitofrontal,ctx-lh-parsopercularis,22,0.77,0.5656004682477828,0.8987696001475148
ctx-lh-parstriangularis,ctx-lh-parahippocampal,30,0.7,0.5212421254128503,0.833352517317562
ctx-lh-parstriangularis,ctx-lh-parsopercularis,62,0.8230769230769232,0.7095843311430363,0.8979356223399493
ctx-lh-insula,ctx-lh-parahippocampal,20,0.8,0.5839825677481064,0.919342337420202
ctx-lh-insula,ctx-lh-parsopercularis,72,0.7638095238095238,0.6540123102714637,0.8470329041915168
ctx-lh-parsopercularis,Left-Hippocampus,68,0.7351648351648352,0.6199226601011089,0.8255025933012111
ctx-lh-parsopercularis,ctx-lh-parahippocampal,40,0.75,0.5980603857923197,0.858128813609037
ctx-lh-parsopercularis,ctx-lh-fusiform,32,0.780952380952381,0.6124500635075647,0.8897616374739581
ctx-lh-parsopercularis,Left-Amygdala,24,0.75,0.5510055599484599,0.88000633771405
ctx-lh-parsopercularis,ctx-lh-superiortemporal,104,0.8080952380952381,0.7215452338276328,0.8719185480970123
ctx-lh-parsopercularis,ctx-lh-middletemporal,128,0.8747692307692307,0.8065737291824854,0.9215735536123834
ctx-lh-parsopercularis,ctx-lh-entorhinal,22,0.9,0.7218505315839416,0.9747045710090048
ctx-lh-parsopercularis,ctx-lh-medialorbitofrontal,22,0.6799999999999999,0.47318597741042745,0.8363940681864375
ctx-lh-parsopercularis,ctx-lh-parstriangularis,62,0.8217948717948719,0.7095843311430363,0.8979356223399493
ctx-lh-parsopercularis,ctx-lh-insula,72,0.8057142857142857,0.6996724105411147,0.8804852062054944
ctx-lh-parsopercularis,ctx-lh-parsopercularis,78,0.77,0.6644424217371642,0.8487449114947313
Left-Amygdala,Right-Amygdala,28,0.7533333333333333,0.5664432968100103,0.8732350508070669
Left-Amygdala,ctx-rh-lateralorbitofrontal,26,0.6466666666666667,0.4622057118881081,0.8058776967705948
Left-Amygdala,ctx-rh-parstriangularis,20,0.75,0.5312991223812559,0.8881382985923344
ctx-lh-inferiortemporal,ctx-rh-fusiform,20,0.85,0.639581135259243,0.9476312541037833
ctx-lh-inferiortemporal,ctx-rh-lateralorbitofrontal,24,0.78,0.5952954674681133,0.9075517464714814
ctx-lh-inferiortemporal,ctx-rh-insula,20,0.75,0.5312991223812559,0.8881382985923344
ctx-lh-inferiortemporal,ctx-rh-parstriangularis,30,0.8666666666666668,0.703186733179637,0.9469034451594526
Right-Amygdala,Left-Amygdala,28,0.9266666666666667,0.7735463743160095,0.9801879358846942
Right-Amygdala,ctx-rh-fusiform,32,0.819047619047619,0.6469084479862404,0.9111045531043405
ctx-rh-fusiform,ctx-lh-inferiortemporal,20,0.9,0.6989663547715127,0.9721335187862318
ctx-rh-fusiform,Right-Amygdala,32,0.7809523809523808,0.6124500635075647,0.8897616374739581
ctx-rh-lateralorbitofrontal,Left-Amygdala,26,0.6799999999999999,0.5001174167780162,0.8349868440453625
ctx-rh-lateralorbitofrontal,ctx-lh-inferiortemporal,24,0.8800000000000001,0.6899611872949992,0.9565566591987656
ctx-rh-insula,ctx-lh-inferiortemporal,20,0.9,0.6989663547715127,0.9721335187862318
ctx-rh-parstriangularis,Left-Amygdala,20,0.9,0.6989663547715127,0.9721335187862318
ctx-rh-parstriangularis,ctx-lh-inferiortemporal,30,0.8,0.6269430358685175,0.9049489282271013
ctx-lh-superiortemporal,ctx-lh-rostralanteriorcingulate,68,0.8098901098901099,0.699893585399794,0.8847270596907507
ctx-lh-superiortemporal,Right-Amygdala,28,0.5733333333333333,0.3907078562746876,0.734914528758763
ctx-lh-insula,ctx-lh-transversetemporal,22,0.72,0.5184826598759761,0.8684923971201054
ctx-lh-insula,ctx-lh-rostralanteriorcingulate,42,0.638888888888889,0.4916636571945581,0.7701081168438124
ctx-lh-transversetemporal,ctx-lh-insula,22,0.78,0.5656004682477828,0.8987696001475148
ctx-lh-parsopercularis,ctx-lh-rostralanteriorcingulate,42,0.8583333333333332,0.7215891052555522,0.9328403298403735
ctx-lh-parsopercularis,ctx-lh-lateralorbitofrontal,102,0.822857142857143,0.7382173233977819,0.8853568481545065
Left-Hippocampus,ctx-lh-rostralanteriorcingulate,32,0.8095238095238096,0.6469084479862404,0.9111045531043405
ctx-lh-middletemporal,ctx-lh-rostralanteriorcingulate,74,0.7847619047619048,0.6772627498746149,0.8622954834409498
ctx-lh-rostralanteriorcingulate,ctx-lh-superiortemporal,68,0.8241758241758241,0.7163955959225665,0.8960641275056231
ctx-lh-rostralanteriorcingulate,ctx-lh-insula,42,0.836111111111111,0.6939599725535115,0.9168408335360192
ctx-lh-rostralanteriorcingulate,ctx-lh-parsopercularis,42,0.7166666666666667,0.5643279073180463,0.8283297537395091
ctx-lh-rostralanteriorcingulate,Left-Hippocampus,32,0.7999999999999999,0.6469084479862404,0.9111045531043405
ctx-lh-rostralanteriorcingulate,ctx-lh-middletemporal,74,0.8371428571428572,0.7376018659372965,0.9047293642002805
ctx-lh-rostralanteriorcingulate,ctx-lh-rostralanteriorcingulate,38,0.7642857142857143,0.6079318763676019,0.8700629298294592
ctx-lh-rostralanteriorcingulate,ctx-lh-lateralorbitofrontal,72,0.86,0.762868127494437,0.9227726922970102
Right-Amygdala,ctx-lh-superiortemporal,28,0.6133333333333334,0.42409044296597176,0.764343134584204
Right-Amygdala,ctx-lh-lateralorbitofrontal,28,0.6866666666666668,0.4933884318085761,0.8206675307750504
ctx-lh-lateralorbitofrontal,ctx-lh-parsopercularis,102,0.8633333333333333,0.7827125858265774,0.9164463337926553
ctx-lh-lateralorbitofrontal,ctx-lh-rostralanteriorcingulate,72,0.8752380952380954,0.7791894627583916,0.9328221577942649
ctx-lh-lateralorbitofrontal,Right-Amygdala,28,0.7066666666666667,0.5294071156670428,0.8474600394333092
Right-Hippocampus,ctx-rh-parahippocampal,106,0.9432900432900434,0.8819764940905073,0.9738023803820739
ctx-rh-parahippocampal,Right-Hippocampus,106,0.8969696969696969,0.8236781566158943,0.9410604120617315
ctx-rh-parahippocampal,ctx-rh-parahippocampal,150,0.9733333333333334,0.9334461094878556,0.989582059177032
ctx-rh-parahippocampal,Right-Amygdala,82,0.9139705882352942,0.8341245443721832,0.9580334750067581
ctx-rh-parahippocampal,ctx-rh-middletemporal,40,0.925,0.8013576647568946,0.9741639742254119
Right-Amygdala,ctx-rh-parahippocampal,82,0.9397058823529412,0.8650795049984596,0.973676044932184
ctx-rh-middletemporal,ctx-rh-parahippocampal,40,0.875,0.738878801611489,0.945404997490546
Right-Hippocampus,ctx-rh-inferiortemporal,88,0.7496732026143791,0.6503697004398789,0.828716766227675
Right-Hippocampus,ctx-rh-parsopercularis,54,0.7581818181818182,0.6305247581649721,0.8535570850471558
ctx-rh-parahippocampal,ctx-rh-fusiform,38,0.9464285714285715,0.8271453786822962,0.9854457918527075
ctx-rh-parahippocampal,ctx-rh-inferiortemporal,22,0.8300000000000001,0.6148339256287345,0.9269311541657794
ctx-rh-parahippocampal,ctx-rh-lateralorbitofrontal,114,0.9739130434782609,0.9254751605265878,0.9910104386913519
ctx-rh-parahippocampal,ctx-rh-parstriangularis,82,0.95,0.8811853807742406,0.9808689344322542
ctx-rh-parahippocampal,ctx-rh-parsopercularis,20,0.85,0.639581135259243,0.9476312541037833
Right-Amygdala,ctx-rh-inferiortemporal,48,0.7511111111111111,0.6121562719049203,0.850793663262021
Right-Amygdala,ctx-rh-parsopercularis,24,0.71,0.5083230633550336,0.8508535180303914
ctx-rh-fusiform,ctx-rh-parahippocampal,38,0.9464285714285714,0.8271453786822962,0.9854457918527075
ctx-rh-inferiortemporal,Right-Hippocampus,88,0.7163398692810458,0.6142041863950729,0.7995523075450874
ctx-rh-inferiortemporal,ctx-rh-parahippocampal,22,0.9099999999999999,0.7218505315839416,0.9747045710090048
ctx-rh-inferiortemporal,Right-Amygdala,48,0.6688888888888889,0.5254010970594798,0.7832321930518142
ctx-rh-inferiortemporal,ctx-rh-inferiortemporal,62,0.6294871794871795,0.5045796412346053,0.7384283401585889
ctx-rh-inferiortemporal,ctx-rh-middletemporal,88,0.6816993464052288,0.5786523452420933,0.7697741759706731
ctx-rh-inferiortemporal,ctx-rh-lateralorbitofrontal,128,0.7344615384615384,0.6518470619103658,0.8032449898364271
ctx-rh-inferiortemporal,ctx-rh-parstriangularis,54,0.7018181818181819,0.5717242709884696,0.8086257486782022
ctx-rh-inferiortemporal,ctx-rh-parsopercularis,26,0.6933333333333334,0.5001174167780162,0.8349868440453625
ctx-rh-middletemporal,ctx-rh-inferiortemporal,88,0.7379084967320261,0.6382422002911137,0.8190676088006423
ctx-rh-middletemporal,ctx-rh-parsopercularis,46,0.6511111111111111,0.5077005884206276,0.7731900662924567
ctx-rh-lateralorbitofrontal,ctx-rh-parahippocampal,114,0.9739130434782609,0.9254751605265878,0.9910104386913519
ctx-rh-lateralorbitofrontal,ctx-rh-inferiortemporal,128,0.7661538461538461,0.6851645688917714,0.8306064230879273
ctx-rh-lateralorbitofrontal,ctx-rh-parsorbitalis,22,0.72,0.5184826598759761,0.8684923971201054
ctx-rh-lateralorbitofrontal,ctx-rh-parsopercularis,58,0.6757575757575758,0.5442405467847079,0.7791670891507393
ctx-rh-parsorbitalis,ctx-rh-lateralorbitofrontal,22,0.8099999999999999,0.6148339256287345,0.9269311541657794
ctx-rh-parstriangularis,ctx-rh-parahippocampal,82,1.0,0.9552493763098998,1.0000000000000002
ctx-rh-parstriangularis,ctx-rh-inferiortemporal,54,0.649090909090909,0.5148483072023631,0.7617698889188527
ctx-rh-parstriangularis,ctx-rh-parsopercularis,26,0.6866666666666668,0.5001174167780162,0.8349868440453625
ctx-rh-parsopercularis,Right-Hippocampus,54,0.78,0.6506132834036109,0.8680458343236686
ctx-rh-parsopercularis,ctx-rh-parahippocampal,20,0.85,0.639581135259243,0.9476312541037833
ctx-rh-parsopercularis,Right-Amygdala,24,0.71,0.5083230633550336,0.8508535180303914
ctx-rh-parsopercularis,ctx-rh-inferiortemporal,26,0.7333333333333332,0.5391695962082381,0.8629555167798162
ctx-rh-parsopercularis,ctx-rh-middletemporal,46,0.6933333333333332,0.5519435355159235,0.8092015919723277
ctx-rh-parsopercularis,ctx-rh-lateralorbitofrontal,58,0.7984848484848485,0.6723078207851659,0.8774851603050945
ctx-rh-parsopercularis,ctx-rh-parstriangularis,26,0.7333333333333333,0.5391695962082381,0.8629555167798162
ctx-rh-inferiortemporal,ctx-rh-insula,102,0.7057142857142857,0.6112835092896618,0.7855364180617945
ctx-rh-insula,ctx-rh-inferiortemporal,102,0.6476190476190476,0.5505227800497734,0.7329200252012669
ctx-rh-insula,ctx-rh-parsopercularis,44,0.725,0.581511269075488,0.8365361837615664
ctx-rh-parsopercularis,ctx-rh-insula,44,0.6777777777777778,0.5344310393781776,0.8000069228914658
ctx-lh-rostralanteriorcingulate,ctx-lh-parstriangularis,32,0.8142857142857143,0.6469084479862404,0.9111045531043405
ctx-lh-parstriangularis,ctx-lh-rostralanteriorcingulate,32,0.8476190476190476,0.682458504024696,0.9313557971749429
ctx-lh-middletemporal,ctx-rh-caudalmiddlefrontal,28,0.8866666666666667,0.7280414845132784,0.9628816331707001
ctx-rh-lateralorbitofrontal,ctx-rh-postcentral,72,0.7933333333333333,0.6843073658064066,0.869479450178993
ctx-rh-lateralorbitofrontal,ctx-rh-caudalmiddlefrontal,20,0.95,0.7638688065532577,0.9911185511992044
Right-Amygdala,ctx-rh-postcentral,22,0.67,0.47318597741042745,0.8363940681864375
ctx-rh-middletemporal,ctx-rh-postcentral,48,0.6244444444444445,0.4836276351921526,0.747847332391318
ctx-rh-middletemporal,ctx-rh-caudalmiddlefrontal,22,0.96,0.7820195416134266,0.9919305723787362
Right-Hippocampus,ctx-rh-postcentral,44,0.6138888888888888,0.46623575392378275,0.7427879724947444
ctx-rh-postcentral,ctx-rh-lateralorbitofrontal,72,0.7085714285714285,0.5949425733065095,0.8006194381116332
ctx-rh-postcentral,Right-Amygdala,22,0.5900000000000001,0.38734818476315125,0.7674418380352814
ctx-rh-postcentral,ctx-rh-middletemporal,48,0.6666666666666666,0.5254010970594798,0.7832321930518142
ctx-rh-postcentral,Right-Hippocampus,44,0.6583333333333334,0.5113914121793823,0.7812418048065555
ctx-rh-postcentral,ctx-rh-postcentral,20,0.75,0.5312991223812559,0.8881382985923344
ctx-rh-caudalmiddlefrontal,ctx-lh-middletemporal,28,0.8333333333333333,0.6440857521065705,0.9212149805439572
ctx-rh-caudalmiddlefrontal,ctx-rh-lateralorbitofrontal,20,0.85,0.639581135259243,0.9476312541037833
ctx-rh-caudalmiddlefrontal,ctx-rh-middletemporal,22,0.96,0.7820195416134266,0.9919305723787362
ctx-rh-caudalmiddlefrontal,ctx-rh-caudalmiddlefrontal,20,0.8,0.5839825677481064,0.919342337420202
ctx-lh-parstriangularis,ctx-lh-superiorfrontal,106,0.8484848484848484,0.7687968486643733,0.9049014142182972
ctx-lh-parstriangularis,ctx-lh-precentral,24,0.8800000000000001,0.6899611872949992,0.9565566591987656
ctx-lh-superiorfrontal,ctx-lh-parstriangularis,106,0.8774891774891774,0.8014136606026787,0.9269087857569649
ctx-lh-superiorfrontal,ctx-lh-superiorfrontal,218,0.8943974630021142,0.8466659889782291,0.9286624862055775
ctx-lh-superiorfrontal,ctx-lh-precentral,52,0.8072727272727274,0.6810113918634199,0.8920395397526649
ctx-lh-superiorfrontal,ctx-lh-lateralorbitofrontal,198,0.9192307692307693,0.8727779672527037,0.9496496993421267
ctx-lh-superiorfrontal,ctx-lh-middletemporal,192,0.8959514170040486,0.8445869253283719,0.9315510840354478
ctx-lh-superiorfrontal,ctx-rh-medialorbitofrontal,26,0.7666666666666666,0.5794844592105631,0.8896615059421672
ctx-lh-precentral,ctx-lh-parstriangularis,24,0.75,0.5510055599484599,0.88000633771405
ctx-lh-precentral,ctx-lh-superiorfrontal,52,0.7309090909090908,0.5974778016637287,0.8323103970483349
ctx-lh-precentral,ctx-lh-precentral,32,0.819047619047619,0.6469084479862404,0.9111045531043405
ctx-lh-precentral,ctx-lh-lateralorbitofrontal,52,0.8272727272727274,0.702691358755192,0.9061752560868979
ctx-lh-precentral,ctx-lh-middletemporal,48,0.8066666666666666,0.680601328507153,0.8980860904515235
ctx-lh-lateralorbitofrontal,ctx-lh-superiorfrontal,198,0.9042307692307693,0.854996253946972,0.9377051114456356
ctx-lh-lateralorbitofrontal,ctx-lh-precentral,52,0.8872727272727271,0.7702833565509788,0.946030307969127
ctx-lh-lateralorbitofrontal,ctx-rh-medialorbitofrontal,28,0.6466666666666667,0.4583030651442781,0.7929417049226233
ctx-lh-middletemporal,ctx-lh-superiorfrontal,192,0.9010796221322537,0.8506207684360072,0.9357295831562837
ctx-lh-middletemporal,ctx-lh-precentral,48,0.8155555555555555,0.680601328507153,0.8980860904515235
ctx-lh-middletemporal,ctx-rh-medialorbitofrontal,26,0.76,0.5794844592105631,0.8896615059421672
ctx-rh-medialorbitofrontal,ctx-lh-superiorfrontal,26,0.8066666666666666,0.62123742880683,0.9149293885105759
ctx-rh-medialorbitofrontal,ctx-lh-lateralorbitofrontal,28,0.6933333333333334,0.4933884318085761,0.8206675307750504
ctx-rh-medialorbitofrontal,ctx-lh-middletemporal,26,0.7333333333333333,0.5391695962082381,0.8629555167798162
ctx-rh-medialorbitofrontal,ctx-rh-medialorbitofrontal,30,0.6333333333333333,0.45513563654794864,0.7812607919389929
ctx-rh-medialorbitofrontal,ctx-rh-lateralorbitofrontal,72,0.7228571428571429,0.6095356707476457,0.8123971414317063
ctx-rh-medialorbitofrontal,ctx-rh-parstriangularis,26,0.5800000000000001,0.389486137465917,0.7445555668634344
ctx-rh-medialorbitofrontal,Right-Amygdala,30,0.8666666666666668,0.703186733179637,0.9469034451594526
ctx-rh-medialorbitofrontal,ctx-rh-superiortemporal,116,0.7590579710144927,0.6732697472168292,0.8273917149385299
ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,46,0.6533333333333333,0.5077005884206276,0.7731900662924567
ctx-rh-medialorbitofrontal,ctx-rh-inferiortemporal,34,0.6047619047619047,0.4504101734443069,0.760998166754911
ctx-rh-lateralorbitofrontal,ctx-rh-medialorbitofrontal,72,0.7085714285714285,0.5949425733065095,0.8006194381116332
ctx-rh-lateralorbitofrontal,ctx-rh-superiortemporal,420,0.7785714285714285,0.7364373723884556,0.8156558575921291
ctx-rh-parstriangularis,ctx-rh-medialorbitofrontal,26,0.6533333333333333,0.4622057118881081,0.8058776967705948
ctx-rh-parstriangularis,ctx-rh-superiortemporal,156,0.6981854838709676,0.6226539651399258,0.7652303826221271
Right-Amygdala,ctx-rh-medialorbitofrontal,30,0.7333333333333333,0.555520383048111,0.8581733668040368
Right-Amygdala,ctx-rh-superiortemporal,120,0.7333333333333332,0.647875606138524,0.8043154495327476
ctx-rh-superiortemporal,ctx-rh-medialorbitofrontal,116,0.7242753623188406,0.6366109249677827,0.7972956755668621
ctx-rh-superiortemporal,ctx-rh-lateralorbitofrontal,420,0.7571428571428571,0.7139222414698658,0.7957022785122123
ctx-rh-superiortemporal,ctx-rh-parstriangularis,156,0.7314516129032258,0.6562367115839256,0.794209627752652
ctx-rh-superiortemporal,Right-Amygdala,120,0.7666666666666667,0.683445529241854,0.833344248668171
ctx-rh-superiortemporal,ctx-rh-superiortemporal,726,0.6735285781766651,0.6386086373985069,0.7066718299610635
ctx-rh-superiortemporal,ctx-rh-middletemporal,284,0.7464912280701753,0.69282596730794,0.793552890600818
ctx-rh-superiortemporal,ctx-rh-inferiortemporal,194,0.6341430499325236,0.5642452323692226,0.6985914870421932
ctx-rh-middletemporal,ctx-rh-medialorbitofrontal,46,0.6333333333333333,0.486000964233897,0.7547624540916038
ctx-rh-middletemporal,ctx-rh-superiortemporal,284,0.7004385964912281,0.6450538441771657,0.7509975115485371
ctx-rh-inferiortemporal,ctx-rh-medialorbitofrontal,34,0.638095238095238,0.47913963119781733,0.785120794051205
ctx-rh-inferiortemporal,ctx-rh-superiortemporal,194,0.6750337381916329,0.6065141342041189,0.7371954219492713
Right-Amygdala,ctx-rh-inferiorparietal,22,0.78,0.5656004682477828,0.8987696001475148
Right-Hippocampus,ctx-rh-superiortemporal,274,0.7299663299663299,0.6744441848988922,0.7790518503393711
ctx-rh-superiortemporal,Right-Hippocampus,274,0.7406734006734006,0.6859179726549942,0.7891731118803293
ctx-rh-superiortemporal,ctx-rh-bankssts,118,0.7463768115942029,0.6603107217485353,0.8157177217827811
ctx-rh-superiortemporal,ctx-rh-precentral,198,0.7574358974358975,0.6933493710326301,0.8119977494051572
ctx-rh-superiortemporal,ctx-rh-inferiorparietal,118,0.738768115942029,0.6513031361566628,0.8083105334597807
ctx-rh-middletemporal,ctx-rh-lingual,28,0.6866666666666668,0.4933884318085761,0.8206675307750504
ctx-rh-middletemporal,ctx-rh-lateraloccipital,28,0.8266666666666668,0.6440857521065705,0.9212149805439572
ctx-rh-bankssts,ctx-rh-superiortemporal,118,0.6608695652173913,0.5717356110091416,0.740145093373445
ctx-rh-bankssts,ctx-rh-inferiorparietal,26,0.8066666666666666,0.62123742880683,0.9149293885105759
ctx-rh-precentral,ctx-rh-superiortemporal,198,0.7021794871794873,0.6349609560743676,0.761389726621936
ctx-rh-inferiorparietal,Right-Amygdala,22,0.72,0.5184826598759761,0.8684923971201054
ctx-rh-inferiorparietal,ctx-rh-superiortemporal,118,0.743840579710145,0.6603107217485353,0.8157177217827811
ctx-rh-inferiorparietal,ctx-rh-bankssts,26,0.6933333333333334,0.5001174167780162,0.8349868440453625
ctx-rh-lingual,ctx-rh-middletemporal,28,0.7466666666666667,0.5664432968100103,0.8732350508070669
ctx-rh-lateraloccipital,ctx-rh-middletemporal,28,0.7466666666666667,0.5664432968100103,0.8732350508070669
ctx-lh-entorhinal,ctx-lh-lateralorbitofrontal,20,0.55,0.34208534245034233,0.7418021417443759
ctx-lh-superiortemporal,ctx-lh-precentral,48,0.8777777777777779,0.7529954171361316,0.9414294856142803
ctx-lh-superiortemporal,ctx-rh-medialorbitofrontal,22,0.78,0.5656004682477828,0.8987696001475148
ctx-lh-supramarginal,ctx-lh-precentral,20,0.7,0.48102718164647645,0.8545227551323957
ctx-lh-precentral,ctx-lh-superiortemporal,48,0.7911111111111111,0.6574109872738206,0.882697270420944
ctx-lh-precentral,ctx-lh-supramarginal,20,0.7,0.48102718164647645,0.8545227551323957
ctx-lh-lateralorbitofrontal,ctx-lh-entorhinal,20,0.55,0.34208534245034233,0.7418021417443759
